rtt_project_id	refset_sctid	project_name	project_desc
99999	32570581000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570591000036107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570601000036100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570611000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570621000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570631000036107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570641000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570711000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570811000036104	Australia NRC Reference Sets	Australia Reference Sets Project
99999	4021000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	5021000036101	Australia NRC Reference Sets	Australia Reference Sets Project
99999	6021000036108	Australia NRC Reference Sets	Australia Reference Sets Project
